"Year","Article","Chapter","ACC","SUSP","STPIL","STPLOC","STPSDR","STPFOR","TOCRT","INDICM","REL","MED","EDU","CL3-1","RECID","GROUP","INTOX","JUVEN","CLOSE","CL1-2","CL10","NODEC"
2020,"Article  109","I",76,19,0,2,0,0,14,14,0,0,0,0,0,0,0,0,11,11,0,60
2020,"Article  110","I",140,48,0,12,0,0,35,34,1,0,0,0,1,10,0,1,7,7,0,93
2020,"Article  110-2","I",29,5,0,0,0,0,5,4,1,0,0,0,0,0,0,0,3,3,0,24
2020,"Article  111","I",145,45,0,6,0,0,39,17,22,0,0,0,4,0,0,0,14,14,0,100
2020,"Article  112","I",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2
2020,"Article  113","I",11,3,0,0,0,0,2,1,0,1,0,0,0,1,0,0,1,1,0,9
2020,"Article  114","I",6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
2020,"Article  114-1","I",5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,4
2020,"Others","I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Article  115","II",3809,1242,3,19,0,2,864,799,0,65,0,0,241,37,434,20,119179,119121,20,2863
2020,"Article  116","II",7,7,0,0,0,0,7,7,0,0,0,0,1,0,0,0,0,0,0,0
2020,"Article  117","II",10,7,0,0,0,0,4,4,0,0,0,0,0,0,0,1,10,10,0,6
2020,"Article  118","II",18,17,0,0,0,0,18,17,0,0,1,0,2,0,7,2,2,2,0,0
2020,"Article  119","II",135,106,0,1,0,0,88,85,0,1,2,0,14,1,25,5,7,7,0,46
2020,"Article  120","II",61,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,354,354,0,60
2020,"Article  121","II",1703,1632,1,23,0,0,1352,1317,0,33,2,0,290,36,516,41,120,107,0,314
2020,"Article  122","II",3248,1697,0,9,0,0,1614,1602,0,12,0,1,291,29,281,72,1683,1679,0,1620
