"Year","Article","Chapter","ACC","SUSP","STPIL","STPLOC","STPSDR","STPFOR","INDICM","REL","MED","EDU","RECID","GROUP","INTOX","JUVEN","CLOSE","CL1-2","NODEC"
2018,"Article 109","I",72,22,0,2,0,0,17,0,0,0,0,1,0,0,14,14,53
2018,"Article 110","I",165,78,0,7,0,0,61,0,0,0,1,14,0,0,2,2,97
2018,"Article 110-2","I",37,12,0,2,0,0,9,0,0,0,1,0,0,0,3,3,26
2018,"Article 111","I",127,31,0,12,0,0,12,11,0,0,3,0,0,0,6,6,92
2018,"Article 112","I",5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
2018,"Article 113","I",11,3,0,0,0,0,3,0,0,0,2,1,0,0,1,1,8
2018,"Article 114","I",8,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6
2018,"Article 114-1","I",3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3
2018,"Others","I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"Article 115","II",5557,1363,3,27,0,1,858,0,74,1,282,60,473,16,110200,110157,4550
2018,"Article 116","II",6,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
2018,"Article 117","II",12,10,0,0,0,0,8,0,0,0,0,0,0,0,10,10,4
2018,"Article 118","II",25,23,0,0,0,0,19,0,0,0,0,0,5,0,4,3,5
2018,"Article 119","II",137,109,0,1,0,0,99,0,0,2,14,1,20,5,9,8,34
2018,"Article 120","II",114,1,0,0,0,0,1,0,0,0,0,0,1,0,523,523,113
2018,"Article 121","II",2130,1950,1,51,0,0,1570,1,42,2,409,52,708,44,293,282,452
2018,"Article 122","II",3139,1781,0,11,0,1,1674,1,15,4,292,43,282,80,1545,1517,1405
2018,"Article 123","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"Article 124","II",107,74,0,1,0,0,68,1,1,0,4,0,17,1,39,39,36
2018,"Article 125","II",23447,12549,1,64,0,0,11966,24,64,54,2115,127,2156,262,54637,54401,11038
2018,"Article 126","II",1320,1122,1,2,0,0,1072,10,1,2,161,4,101,14,596,583,219
2018,"Article 127","II",163,59,0,2,0,0,51,0,0,0,6,25,6,0,43,43,110
2018,"Article 128","II",873,412,0,1,0,0,382,10,1,5,47,1,75,22,1160,1160,474
2018,"Article 129","II",1086,429,0,2,0,0,396,0,4,0,117,0,122,5,1624,1616,676
2018,"Article 130","II",6,1,0,0,0,0,1,0,0,0,1,0,1,0,3,3,5
2018,"Article 131","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2018,"Article 132","II",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018,"Article 133","II",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2018,"Article 134","II",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
2018,"Article 135","II",258,153,1,2,0,0,135,0,1,0,22,6,40,3,57,57,119
2018,"Article 136","II",28,7,0,1,0,0,4,0,0,0,1,0,1,0,11,10,22
2018,"Article 137","II",61,5,0,0,0,0,4,0,0,0,0,0,0,0,68,68,57
2018,"Article 138","II",3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
2018,"Article 139","II",27,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,27
2018,"Article 140","II",655,3,0,0,0,0,3,0,0,0,0,0,0,0,251,251,652
2018,"Article 141","II",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2018,"Article 142","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2018,"Article 143","II",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
2018,"Article 144","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
