"Year","Article","Chapter","ACC","SUSP","STPIL","STPLOC","STPFOR","INDICM","REL","MED","EDU","RECID","GROUP","INTOX","JUVEN","CLOSE","CL1-2","NODEC"
2015,"Article 109","I",48,20,0,4,0,16,0,0,0,3,1,0,0,8,8,28
2015,"Article 110","I",217,74,0,8,0,62,0,0,0,4,3,0,0,6,6,147
2015,"Article  110-2","I",7,4,0,1,0,1,2,0,0,0,0,0,0,1,1,3
2015,"Article 111","I",80,23,0,46,0,7,4,1,0,0,1,0,0,10,9,21
2015,"Article 112","I",5,1,0,0,0,1,0,0,0,0,1,0,0,1,1,4
2015,"Article 113","I",41,13,0,0,0,10,0,0,0,0,1,0,1,1,1,31
2015,"Article 114","I",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2015,"Article 114-1","I",73,5,0,1,0,4,0,0,0,1,0,0,0,299,299,68
2015,"Others","I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Article 115","II",8224,1507,11,40,1,1046,0,56,0,317,68,624,30,99821,99776,7025
2015,"Article 116","II",7,7,0,0,0,6,0,0,0,0,0,0,0,1,0,0
2015,"Article 117","II",11,7,0,0,0,5,0,0,0,0,0,0,0,18,18,6
2015,"Article 118","II",38,34,0,1,0,28,0,0,1,9,0,12,1,6,6,8
2015,"Article 119","II",169,137,0,3,0,117,1,2,2,19,1,48,4,23,20,41
2015,"Article 120","II",86,1,0,0,0,1,0,0,0,0,0,0,0,1346,1346,85
2015,"Article 121","II",2511,2029,2,72,1,1616,0,46,1,496,48,915,42,792,769,750
2015,"Article 122","II",3462,1735,3,30,0,1509,0,8,1,288,36,408,59,2181,2047,1777
2015,"Article 123","II",2,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0
2015,"Article 124","II",129,96,0,0,0,83,6,1,0,20,1,34,1,21,20,38
2015,"Article 125","II",34730,13764,8,95,0,11734,117,63,82,2189,183,3144,337,73365,71454,20720
2015,"Article 126","II",1461,918,0,2,0,540,13,4,3,86,9,157,13,2054,1645,490
