"Year","Article","Chapter","ACC","SUSP","STPIL","STPLOC","STPFOR","INDICM","REL","MED","EDU","RECID","GROUP","INTOX","JUVEN","CLOSE","CL1-2","NODEC"
2016,"Article 109","I",45,11,0,2,0,7,0,0,0,0,0,0,0,3,2,35
2016,"Article 110","I",93,41,0,3,0,33,0,0,0,4,5,0,0,5,5,57
2016,"Article  110-2","I",10,5,0,0,0,0,1,0,0,0,0,0,0,1,1,9
2016,"Article 111","I",126,77,0,27,0,50,8,0,0,0,0,0,0,8,8,41
2016,"Article 112","I",6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6
2016,"Article 113","I",11,2,0,0,0,2,0,0,0,1,0,0,0,0,0,9
2016,"Article 114","I",2,2,0,0,0,1,0,0,0,0,0,0,0,2,2,1
2016,"Article 114-1","I",9,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9
2016,"Others","I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article 115","II",5992,1403,2,42,3,914,0,68,2,307,55,551,27,106180,106137,4918
2016,"Article 116","II",7,6,0,0,0,6,0,0,0,0,0,1,0,0,0,1
2016,"Article 117","II",14,11,0,0,0,9,0,0,0,3,0,0,0,19,19,5
2016,"Article 118","II",38,37,0,1,1,33,0,0,0,3,0,9,0,5,5,3
2016,"Article 119","II",180,135,0,1,0,120,1,1,0,23,1,52,3,14,13,56
2016,"Article 120","II",133,3,0,0,0,2,0,0,0,1,1,0,0,873,873,131
2016,"Article 121","II",2256,1857,2,59,2,1425,0,36,2,427,41,768,35,718,699,711
2016,"Article 122","II",3295,1581,4,22,0,1389,1,11,1,258,39,319,80,2175,2081,1773
2016,"Article 123","II",2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
2016,"Article 124","II",138,106,0,1,0,93,6,0,0,18,0,31,1,26,26,38
2016,"Article 125","II",29959,12454,2,52,0,10866,59,51,58,1982,116,2753,282,81263,79610,17218
2016,"Article 126","II",1030,749,0,4,0,516,20,4,6,81,10,118,22,1929,1699,250
2016,"Article 127","II",62,20,0,1,0,13,1,0,0,0,5,0,1,26,25,46
2016,"Article 128","II",791,341,0,4,0,302,12,4,8,44,3,83,17,1154,1150,457
2016,"Article 129","II",1049,208,0,6,1,178,0,3,0,42,3,81,3,2669,2646,838
2016,"Article 130","II",5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
2016,"Article 131","II",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,"Article 132","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article 133","II",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2016,"Article 134","II",1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1
2016,"Article 135","II",232,141,1,2,0,127,0,0,0,13,3,39,1,44,43,101
2016,"Article 136","II",22,3,0,0,0,1,0,0,0,0,0,0,0,9,9,21
2016,"Article 137","II",70,8,0,0,0,8,0,0,0,0,0,0,0,57,57,62
2016,"Article 138","II",3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3
2016,"Article 139","II",46,0,0,0,0,0,0,0,0,0,0,0,0,12,12,46
2016,"Article 140","II",642,2,0,0,0,0,1,0,0,0,0,0,0,208,208,641
2016,"Article 141","II",1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
2016,"Article 142","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article 143","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article 144","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article 145","II",9,0,0,0,0,0,0,0,0,0,0,0,0,6,6,9
2016,"Others","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article 146","III",576,173,1,13,0,118,0,2,0,36,65,21,3,174,172,440
2016,"Article 147","III",7,4,0,1,0,3,0,0,0,0,0,0,0,4,4,3
2016,"Article 148","III",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
