"Year","Article","Chapter","ACC","SUSP","STPIL","STPLOC","STPSDR","STPFOR","INDICM","REL","MED","EDU","RECID","GROUP","INTOX","JUVEN","CLOSE","CL1-2","NODEC"
2019,"Article 109","I",52,12,0,1,0,0,10,0,0,0,0,0,0,0,6,6,41
2019,"Article 110","I",135,68,0,3,0,0,54,0,2,0,1,37,0,0,5,5,76
2019,"Article 110-2","I",41,12,0,0,0,0,7,4,0,0,0,0,0,0,6,5,29
2019,"Article 111","I",123,32,1,1,0,0,11,16,0,0,4,1,0,0,12,10,92
2019,"Article 112","I",5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5
2019,"Article 113","I",9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8
2019,"Article 114","I",9,2,0,1,0,0,0,1,0,0,0,0,0,0,1,1,7
2019,"Article 114-1","I",5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5
2019,"Others","I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"Article 115","II",5465,1304,4,33,0,1,834,0,67,1,276,25,443,20,109613,109556,4468
2019,"Article 116","II",4,4,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0
2019,"Article 117","II",19,10,0,0,0,0,8,0,1,0,0,0,0,0,17,17,10
2019,"Article 118","II",20,20,0,0,0,0,17,0,0,0,2,0,7,0,1,1,3
2019,"Article 119","II",118,94,0,1,0,0,80,1,1,1,13,1,28,2,7,4,31
2019,"Article 120","II",109,0,0,0,0,0,0,0,0,0,0,0,0,0,416,416,109
2019,"Article 121","II",1940,1806,4,28,0,0,1467,0,31,3,392,39,621,29,168,157,396
2019,"Article 122","II",2804,1671,0,20,0,0,1561,0,7,3,271,23,252,97,1508,1498,1203
2019,"Article 123","II",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,"Article 124","II",98,60,0,0,0,0,58,1,0,0,9,0,24,0,24,24,39
2019,"Article 125","II",24399,12555,1,48,0,0,12032,23,62,39,2220,80,2187,237,46121,46018,12091
2019,"Article 126","II",1661,1408,0,1,0,0,1371,8,1,1,264,15,178,18,640,636,275
2019,"Article 126-1","II",1068,778,0,0,0,0,755,0,4,0,217,2,220,0,496,495,308
2019,"Article 127","II",140,34,0,0,0,0,22,0,0,1,5,4,1,2,25,24,116
2019,"Article 128","II",933,345,0,3,0,0,325,4,1,5,48,1,68,14,1042,1042,595
2019,"Article 129","II",1248,347,0,4,0,0,317,0,3,0,80,2,136,1,1449,1444,919
2019,"Article 130","II",13,3,0,0,0,0,3,0,0,0,1,0,1,0,0,0,10
2019,"Article 131","II",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
2019,"Article 132","II",3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
2019,"Article 133","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019,"Article 134","II",3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
2019,"Article 135","II",221,138,0,1,0,0,125,0,0,0,10,0,37,0,43,42,94
2019,"Article 136","II",28,3,0,2,0,0,1,0,0,0,0,0,0,0,9,9,25
2019,"Article 137","II",58,5,0,0,0,0,4,0,0,0,0,0,0,0,45,44,53
2019,"Article 138","II",8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8
2019,"Article 139","II",55,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,55
2019,"Article 140","II",669,2,0,0,0,0,1,0,0,0,0,0,0,0,296,296,668
2019,"Article 141","II",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,"Article 142","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"Article 143","II",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2019,"Article 144","II",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,"Article 145","II",10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10
2019,"Others","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"Article 146","III",563,295,0,9,0,0,230,0,0,0,31,92,14,4,157,154,321
2019,"Article 147","III",8,7,0,0,0,0,4,0,0,0,0,0,0,0,1,1,4
2019,"Article 148","III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"Article 149","III",320,191,0,6,0,6,150,1,0,0,1,41,0,0,16,15,156
2019,"Article 150","III",9,3,0,0,0,0,3,0,0,0,0,0,0,0,8,8,6
2019,"Article 150-1","III",7,4,0,0,0,0,4,0,0,0,1,0,0,0,3,3,3
2019,"Article 151","III",13,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,13
2019,"Article 151-2","III",1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
2019,"Others","III",60,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,60
2019,"Article 152","IV",355,310,1,7,0,0,220,0,9,2,100,9,77,9,266,260,110
2019,"Article 153","IV",69,46,0,7,0,0,35,0,1,0,10,0,7,0,16,16,26
2019,"Article 154","IV",12,1,0,0,0,0,1,0,0,0,1,0,0,0,9,9,11
2019,"Article 155","IV",64,30,0,1,0,0,28,0,0,0,1,0,2,0,49,49,35
2019,"Article 156","IV",250,150,0,8,0,0,115,0,4,0,23,4,22,1,130,125,118
2019,"Others","IV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"Article 157","V",52,3,0,0,0,0,3,0,0,0,1,1,0,0,217,215,47
2019,"Article 158","V",37,13,0,0,0,0,12,0,0,0,0,1,0,0,48,48,25
2019,"Article 158-1","V",62,55,0,0,0,0,53,2,0,0,2,0,5,0,74,74,7
2019,"Article 158-2","V",5,5,0,0,0,0,5,0,0,0,1,0,2,0,6,6,0
2019,"Article 159","V",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0
2019,"Article 159-1","V",7,1,0,0,0,0,1,0,0,0,0,0,0,0,15,15,6
2019,"Article 160","V",32,1,0,0,0,0,1,0,0,0,0,0,0,0,239,239,31
2019,"Article 161","V",98,4,0,0,0,0,1,0,1,0,0,0,0,0,85,84,95
2019,"Article 162","V",2498,1378,0,6,0,0,1284,1,28,3,519,41,205,17,2161,2147,1162
2019,"Article 163","V",25,6,0,0,0,0,4,0,0,0,1,0,0,0,13,13,21
2019,"Article 164","V",2546,943,0,0,0,0,928,1,1,0,193,0,1,0,3463,3460,1613
2019,"Article 165","V",4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
