"Year","Article","Chapter","ACC","SUSP","STPIL","STPLOC","STPFOR","INDICM","REL","MED","EDU","RECID","GROUP","INTOX","JUVEN","CLOSE","CL1-2","NODEC"
2013,"Article 109","I",6,1,0,0,0,1,0,0,0,0,0,0,0,2,2,5
2013,"Article 110","I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Article 111","I",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,"Article 112","I",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,"Article 113","I",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2013,"Article 114","I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Others","I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Article 115","II",5861,1779,4,18,3,1293,1,97,2,378,74,790,29,127600,127525,4368
2013,"Article 116","II",13,13,0,0,0,12,0,0,0,0,0,1,0,0,0,1
2013,"Article 117","II",12,9,0,0,0,7,0,1,0,0,0,1,1,41,41,4
2013,"Article 118","II",37,35,0,0,0,35,1,0,0,4,1,16,1,44,44,1
2013,"Article 119","II",219,181,0,1,0,160,2,1,4,19,5,68,6,124,124,51
2013,"Article 120","II",250,2,0,0,0,2,0,0,0,0,0,0,0,8566,8564,246
2013,"Article 121","II",3026,2622,8,44,0,2225,0,48,3,592,61,1256,43,1419,1390,669
2013,"Article 122","II",5402,3047,4,29,1,2806,8,8,10,472,50,919,128,5113,4676,2099
2013,"Article 123","II",7,5,0,0,0,5,0,0,0,2,0,1,0,0,0,2
2013,"Article 124","II",140,115,0,1,0,97,9,1,1,20,2,46,1,28,26,29
2013,"Article 125","II",50018,22528,13,80,1,20069,461,97,166,3290,322,6408,491,174602,164888,19417
2013,"Article 126","II",3001,1550,0,2,0,1197,69,0,8,222,13,473,25,9465,8203,463
2013,"Article 127","II",51,38,0,4,0,38,0,0,0,8,12,10,1,63,63,9
2013,"Article 128","II",911,661,1,2,0,593,24,4,19,84,1,189,30,904,887,251
2013,"Article 129","II",1714,623,4,9,0,558,12,10,0,159,10,306,1,27594,27283,810
2013,"Article 130","II",12,4,0,0,0,5,0,0,0,1,0,0,0,26,25,6
2013,"Article 131","II",4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4
2013,"Article 132","II",2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2
2013,"Article 133","II",0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0
2013,"Article 134","II",3,1,0,0,0,1,0,0,0,0,0,0,0,17,17,2
