"Year","Article","Part","Chapter","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65"
2016,"Article  109",1,"I",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article  109",2,"I",3,3,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article  109",3,"I",3,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article  110",1,"I",20,20,0,4,0,0,0,0,0,0,0,2,5,10,3,0,3,0,0,0,0,2,0,2,1,0,1,1,2,0,8,0,0,0,10,0,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article  110",2,"I",26,26,0,8,15,2,0,0,0,0,0,6,2,11,4,3,4,3,0,0,0,0,0,0,0,0,1,0,3,0,15,0,0,0,3,2,7,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article  110",3,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article  110-2",1,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article  110-2",2,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article  110-2",3,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article  110-2",4,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article  111",1,"I",3,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article  112",0,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article  113",0,"I",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article  114",1,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article  114-1",1,"I",2,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article  114-1",2,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article  115",1,"II",413,405,6,47,2,0,0,291,1,1,6,47,48,211,80,20,23,0,2,11,1,0,0,3,1,3,2,5,45,8,308,93,0,1,15,2,105,167,109,13,2,3,35,42,103,43,24,36,14,1,67,0,5,11,5,43,17,14,3,0,17,9,1,25,0
2016,"Article  115",2,"II",183,178,4,10,86,3,0,87,1,5,10,43,38,73,14,0,9,0,2,4,0,0,0,1,3,10,1,2,2,5,144,70,0,0,12,5,38,76,46,5,1,0,2,18,76,38,18,20,16,3,45,1,0,7,4,26,28,24,1,3,8,3,0,13,1
2016,"Article  116",0,"II",7,7,0,2,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article  117",0,"II",10,10,0,10,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,3,0,0,0,0,3,6,1,0,0,0,0,0,3,3,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,2,0
2016,"Article  118",0,"II",45,43,1,16,0,0,0,20,0,0,2,1,8,19,11,4,5,0,0,0,0,0,0,0,1,3,0,1,7,0,28,4,0,0,4,0,14,16,10,1,0,0,3,2,5,4,1,0,1,0,2,1,1,0,0,2,2,1,1,0,0,0,0,1,0
2016,"Article  119",1,"II",109,107,2,18,0,0,0,51,0,0,1,20,19,57,11,1,15,0,0,3,2,0,1,2,3,1,2,1,6,3,70,4,0,0,9,5,28,41,25,0,1,0,10,11,5,2,2,1,1,1,2,0,0,0,1,4,1,0,1,0,0,0,0,0,0
2016,"Article  119",2,"II",2,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article  120",1,"II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article  120",2,"II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article  120",3,"II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Article  121",1,"II",884,870,12,148,5,0,0,508,2,8,25,145,122,402,164,18,89,0,3,12,1,2,0,3,9,16,26,19,64,12,626,153,1,1,41,22,212,391,195,17,6,5,55,109,179,81,42,56,40,1,106,2,7,14,9,82,42,34,6,2,19,8,0,34,2
2016,"Article  121",2,"II",414,410,3,35,57,0,0,300,1,1,9,57,60,232,52,3,39,0,0,6,0,0,0,1,5,3,8,12,21,9,307,85,0,3,11,10,100,193,89,6,5,1,32,50,106,58,15,33,29,1,60,1,3,9,3,39,31,29,2,0,14,8,0,21,1
