"Year","Article","Part","Chapter","CRTOT","CONVIC","ACQUIT","CMED","CCLOSE","SAMEVERD","CONFES","RECONC","CIRCUMS","SPONS","DENOPR","AMNESTY","DEATH","COTHER","x3LIFEIMP","x3IMP","x3IMP1","x3IMP12","x3IMP23","x3IMP35","x3IMP510","x3IMP1015","x3IMP1525","x3RESTOL","x3DISBAT","x3ARREST","x3CORRW","x3SRVRSTR","x3PUBLW","x3FINE","x3DEPR","x3PNOTHR","PROB","RELAMN","RELOTHR","ADDFINE","ADDRANK","ADDDEPR","ADDCONF","SETCR","SETSEN","ART69","COMTREAT","SPECCNF"
2021,"Article  109",1,"I",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021,"Article  109",2,"I",16,11,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,3,0,1
2021,"Article  109",3,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Article  110",1,"I",40,37,0,0,3,0,0,0,2,0,0,0,0,1,0,7,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,4,1,0,0,3
2021,"Article  110",2,"I",124,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,1,0,1,1,0,0,0
2021,"Article  110",3,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Article  110-2",1,"I",4,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2021,"Article  110-2",2,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Article  110-2",3,"I",5,1,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2021,"Article  110-2",4,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Article  111",1,"I",45,4,0,0,41,0,0,0,0,0,0,0,0,41,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0
2021,"Article  112",0,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Article  113",0,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Article  114",1,"I",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Article  114-1",1,"I",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Article  114-1",2,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Article  115",1,"II",399,318,2,41,38,0,0,0,0,0,0,0,36,2,0,317,0,0,0,5,254,58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,53,34,6,0,1
2021,"Article  115",2,"II",139,105,1,15,18,0,0,0,0,0,0,0,17,1,17,85,0,0,0,0,13,69,3,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,51,69,19,3,0,0
2021,"Article  116",0,"II",6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2021,"Article  117",0,"II",8,7,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
2021,"Article  118",0,"II",21,12,0,0,9,0,0,0,0,1,0,0,0,8,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
2021,"Article  119",1,"II",98,83,0,2,13,0,1,0,0,3,0,0,2,7,0,28,0,0,4,24,0,0,0,15,0,0,0,0,0,0,0,0,39,1,0,0,0,3,0,3,12,0,0,1
2021,"Article  119",2,"II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Article  120",1,"II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Article  120",2,"II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Article  120",3,"II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Article  121",1,"II",762,711,1,10,40,0,0,0,0,0,2,0,35,3,0,222,0,2,5,136,79,0,0,4,0,0,1,0,0,1,0,0,482,0,1,1,0,0,0,49,47,17,0,1
2021,"Article  121",2,"II",308,267,0,12,29,0,0,0,0,0,0,0,26,3,0,251,0,0,3,12,234,2,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,2,21,32,22,0,0
2021,"Article  122",1,"II",1354,509,1,13,831,0,1,64,6,11,695,3,13,38,0,37,11,11,9,4,2,0,0,39,0,1,20,0,0,11,0,0,394,6,1,0,0,1,0,41,32,7,0,0
2021,"Article  122",2,"II",6,4,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
2021,"Article  123",0,"II",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2021,"Article  124",0,"II",58,49,0,0,9,0,0,0,0,1,0,0,1,7,0,4,1,1,0,1,1,0,0,4,0,4,2,0,15,0,0,0,18,0,2,0,0,0,1,1,2,0,0,0
2021,"Article  125",1,"II",9114,3529,0,14,5571,1,35,1113,0,4,3927,6,68,417,0,34,3,10,5,9,6,1,0,10,0,5,6,0,1051,2391,0,3,4,1,24,2,0,0,0,29,96,1,0,0
2021,"Article  125",2,"II",3847,1721,2,12,2112,0,7,384,2,4,1514,2,43,156,0,22,0,3,7,10,2,0,0,29,0,69,6,0,456,1020,0,1,108,2,8,0,0,0,1,56,49,0,0,0
2021,"Article  126",1,"II",1082,297,1,1,783,0,2,158,1,1,561,0,13,47,0,10,1,3,2,4,0,0,0,3,0,7,0,0,88,177,0,0,10,0,2,1,0,0,0,6,14,0,0,0
2021,"Article  126",2,"II",6,2,0,0,4,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2021,"Article  126-1",0,"II",1354,1231,3,8,112,0,0,37,17,5,6,0,45,2,0,87,23,39,6,17,2,0,0,42,0,153,0,0,656,8,0,0,284,0,1,1,0,0,0,62,124,7,0,1
2021,"Article  127",1,"II",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2021,"Article  127",2,"II",23,21,0,0,2,0,0,0,0,0,0,0,0,2,0,5,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,11,2,1,0,0
2021,"Article  127",3,"II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Article  127",4,"II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Article  128",0,"II",358,187,0,1,170,0,10,125,1,2,5,0,3,24,0,7,1,2,1,2,1,0,0,18,0,2,8,2,74,3,0,4,67,0,2,1,0,0,0,19,8,2,0,2
2021,"Article  129",1,"II",206,55,0,5,146,0,1,33,0,0,104,0,1,7,0,2,0,1,0,0,1,0,0,3,0,12,0,0,0,2,0,0,36,0,0,0,0,0,0,12,3,1,0,0
2021,"Article  129",2,"II",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Article  130",1,"II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Article  130",2,"II",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Article  130",3,"II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
